PRICE LIST,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
E CODE,PRICE,UPDATE DATE,PRODUCT NAME,PROV,CATEGORY,SUB CATEGORY,SIZE
17,2.77,2022-11-05 00:00:00,ARRG LARGE/TALL  BOX  23 X 17 X 18,CALIFORNIA PACKAGING - CHICAGO,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
17,2.77,2022-11-05 00:00:00,ARRG LARGE/TALL  BOX  23 X 17 X 18,CALIFORNIA PACKAGING - NEW JERSEY,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
17,2.71,6/23/2022,ARRG LARGE/TALL  BOX  23 X 17 X 18,DPS / MAC PAPERS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
17,1.26,5/29/2007,ARRG LARGE/TALL  BOX  23 X 17 X 18,GREEN BAY PACKAGING,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
17,2.459,2014-01-01 00:00:00,ARRG LARGE/TALL  BOX  23 X 17 X 18,PCA - MIAMI,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - CALIFORNIA,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - CHICAGO,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - MIAMI,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - NEW JERSEY,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - TEXAS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,8/16/2023,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",CALIFORNIA PACKAGING - WASHINGTON,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.42,2024-04-10 00:00:00,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",DPS / MAC PAPERS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,0.97,11/28/2005,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",I.C INDT // MIAMI CORRUGATED CONTAINER CORP,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
20,1.665,2021-07-09 00:00:00,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",PCA - MIAMI,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
24,0.46,11/30/2005,BUCKETS PACNET HARD 3GL BL RMP 12003,I.C INDT // MIAMI CORRUGATED CONTAINER CORP,PRODUCTION HARD GOODS,BUCKETS,UNID
27,8,2012-09-12 00:00:00,HAND SOAP 1GL PK 4 (CPC61036483CT),ACORN,CLEANING & CAFETERIA,CLEANER,BOX
27,4.3125,2012-12-06 00:00:00,HAND SOAP 1GL PK 4 (CPC61036483CT),COSGROVE,CLEANING & CAFETERIA,CLEANER,BOX
27,29.8,2022-03-06 00:00:00,HAND SOAP 1GL PK 4 (CPC61036483CT),DPS / MAC PAPERS,CLEANING & CAFETERIA,CLEANER,BOX
27,66,2/27/2024,HAND SOAP 1GL PK 4 (CPC61036483CT),GALLOWAY OFFICE SUPPLIES & FURNITURE,CLEANING & CAFETERIA,CLEANER,BOX
27,5.5,2005-01-04 00:00:00,HAND SOAP 1GL PK 4 (CPC61036483CT),TRIANGLE IND SUPPLIES CORP,CLEANING & CAFETERIA,CLEANER,BOX
33,3.75,6/22/2011,BOX KNIFE CUTTER METAL STANLEY,ACORN,PERSONAL SUPPLIES,CUTTERS,UNID
33,5.63,11/24/2025,BOX KNIFE CUTTER METAL STANLEY,AMAZON,PERSONAL SUPPLIES,CUTTERS,UNID
33,3.1,2018-10-08 00:00:00,BOX KNIFE CUTTER METAL STANLEY,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,CUTTERS,UNID
33,3.1,2012-06-01 00:00:00,BOX KNIFE CUTTER METAL STANLEY,CALIFORNIA PACKAGING - CHICAGO,PERSONAL SUPPLIES,CUTTERS,UNID
33,3.1,2018-10-08 00:00:00,BOX KNIFE CUTTER METAL STANLEY,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,CUTTERS,UNID
33,3.9,2023-09-01 00:00:00,BOX KNIFE CUTTER METAL STANLEY,DPS / MAC PAPERS,PERSONAL SUPPLIES,CUTTERS,UNID
33,8.2,4/17/2012,BOX KNIFE CUTTER METAL STANLEY,SALESMASTER CORPORATION,PERSONAL SUPPLIES,CUTTERS,UNID
33,2.95,2005-07-04 00:00:00,BOX KNIFE CUTTER METAL STANLEY,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,CUTTERS,UNID
33,5.49,2025-03-11 00:00:00,BOX KNIFE CUTTER METAL STANLEY,ZORO,PERSONAL SUPPLIES,CUTTERS,UNID
35,11,2006-10-03 00:00:00,BOX CUTTER REFILS STANLEY PK 100,ACORN,PERSONAL SUPPLIES,CUTTERS,BOX
35,8.33,4/13/2009,BOX CUTTER REFILS STANLEY PK 100,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,CUTTERS,BOX
35,8.33,2012-05-01 00:00:00,BOX CUTTER REFILS STANLEY PK 100,CALIFORNIA PACKAGING - CHICAGO,PERSONAL SUPPLIES,CUTTERS,BOX
35,8.33,2012-12-06 00:00:00,BOX CUTTER REFILS STANLEY PK 100,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,CUTTERS,BOX
35,17.8,2021-07-06 00:00:00,BOX CUTTER REFILS STANLEY PK 100,DPS / MAC PAPERS,PERSONAL SUPPLIES,CUTTERS,BOX
35,11,2009-02-03 00:00:00,BOX CUTTER REFILS STANLEY PK 100,SALESMASTER CORPORATION,PERSONAL SUPPLIES,CUTTERS,BOX
35,0.15,2005-01-04 00:00:00,BOX CUTTER REFILS STANLEY PK 100,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,CUTTERS,BOX
36,2,4/24/2008,KNIFE PROD RED /ORANGE PK 10,BERKELEY,PERSONAL SUPPLIES,CUTTERS,UNID
36,0.7,2005-05-04 00:00:00,KNIFE PROD RED /ORANGE PK 10,DILPACK / AXCENTI,PERSONAL SUPPLIES,CUTTERS,UNID
36,0.715,2013-01-01 00:00:00,KNIFE PROD RED /ORANGE PK 10,DPS / MAC PAPERS,PERSONAL SUPPLIES,CUTTERS,UNID
36,2,10/20/2021,KNIFE PROD RED /ORANGE PK 10,WONG WHOLESALE,PERSONAL SUPPLIES,CUTTERS,UNID
38,424,2/22/2022,POKON CCC CHRYSAL CLEAR BARRELS 52 GL,CHRYSAL  - POKON,PRODUCTION HARD GOODS,FLOWER FOOD  AND CARE PRODUCTS,DRUM
38,680,2009-10-02 00:00:00,POKON CCC CHRYSAL CLEAR BARRELS 52 GL,ROBERT MANN PACKAGING,PRODUCTION HARD GOODS,FLOWER FOOD  AND CARE PRODUCTS,DRUM
40,0.0206,2014-11-06 00:00:00,POKON CHRYSAL CLEAR 5 GR PK 2000,CHRYSAL  - POKON,PRODUCTION HARD GOODS,FLOWER FOOD  AND CARE PRODUCTS,UNID
44,0.0412,2013-11-10 00:00:00,10 GR FLOWER FOOD CHRYSAL POKON 2XEC  PK 1000,CHRYSAL  - POKON,PRODUCTION HARD GOODS,FLOWER FOOD  AND CARE PRODUCTS,UNID
47,0.625,2021-02-12 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,ACORN,PERSONAL SUPPLIES,GLOVES,UNID
47,0.66,2018-10-08 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,GLOVES,UNID
47,0.66,2018-10-08 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,GLOVES,UNID
47,0.75,2021-12-10 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,DPS / MAC PAPERS,PERSONAL SUPPLIES,GLOVES,UNID
47,0.2547,3/24/2025,GLOVES TWO SIDED PVC DOTS LARGE PK 480,"PACIFIC PACKAGING PRODUCTS, INC.",PERSONAL SUPPLIES,GLOVES,UNID
47,0.735,2006-04-04 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,SALESMASTER CORPORATION,PERSONAL SUPPLIES,GLOVES,UNID
47,0.79,2010-09-08 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,TOTALPACK,PERSONAL SUPPLIES,GLOVES,UNID
47,0.604,2005-07-04 00:00:00,GLOVES TWO SIDED PVC DOTS LARGE PK 480,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,GLOVES,UNID
48,0.5208,2021-07-12 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,ACORN,PERSONAL SUPPLIES,GLOVES,UNID
48,0.66,2018-10-08 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,GLOVES,UNID
48,0.66,2018-10-08 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,CALIFORNIA PACKAGING - CHICAGO,PERSONAL SUPPLIES,GLOVES,UNID
48,0.66,2018-10-08 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,GLOVES,UNID
48,0.75,2021-12-10 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,DPS / MAC PAPERS,PERSONAL SUPPLIES,GLOVES,UNID
48,0.2547,3/24/2025,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,"PACIFIC PACKAGING PRODUCTS, INC.",PERSONAL SUPPLIES,GLOVES,UNID
48,0.735,2006-04-04 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,SALESMASTER CORPORATION,PERSONAL SUPPLIES,GLOVES,UNID
48,0.79,2010-06-08 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,TOTALPACK,PERSONAL SUPPLIES,GLOVES,UNID
48,0.604,2005-08-04 00:00:00,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,GLOVES,UNID
51,0.4,2021-11-01 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,ACORN,PERSONAL SUPPLIES,GLOVES,UNID
51,0.4166,2018-10-08 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,GLOVES,UNID
51,0.4166,2018-10-08 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,GLOVES,UNID
51,0.29,2021-03-03 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,DPS / MAC PAPERS,PERSONAL SUPPLIES,GLOVES,UNID
51,0.16,2/27/2024,GLOVES WHITE COTTON LARGE / MEN PK 600,"PACIFIC PACKAGING PRODUCTS, INC.",PERSONAL SUPPLIES,GLOVES,UNID
51,0.434,2014-03-04 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,SALESMASTER CORPORATION,PERSONAL SUPPLIES,GLOVES,UNID
51,0.45,2010-09-08 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,TOTALPACK,PERSONAL SUPPLIES,GLOVES,UNID
51,0.33,2005-09-04 00:00:00,GLOVES WHITE COTTON LARGE / MEN PK 600,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,GLOVES,UNID
52,0.3333,2021-09-06 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,ACORN,PERSONAL SUPPLIES,GLOVES,UNID
52,0.4166,2018-10-08 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,GLOVES,UNID
52,0.416,2012-06-03 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,CALIFORNIA PACKAGING - CHICAGO,PERSONAL SUPPLIES,GLOVES,UNID
52,0.4166,2018-08-10 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,GLOVES,UNID
52,0.3766,2021-12-10 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,DPS / MAC PAPERS,PERSONAL SUPPLIES,GLOVES,UNID
52,0.16,2/27/2024,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,"PACIFIC PACKAGING PRODUCTS, INC.",PERSONAL SUPPLIES,GLOVES,UNID
52,0.434,2014-04-06 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,SALESMASTER CORPORATION,PERSONAL SUPPLIES,GLOVES,UNID
52,0.45,2010-06-08 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,TOTALPACK,PERSONAL SUPPLIES,GLOVES,UNID
52,0.33,2005-08-04 00:00:00,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,GLOVES,UNID
60,2.3,2013-01-01 00:00:00,"MEDIUM BASKET 6"" OPEN XMAS & DEC  W/ HANDLE","HILL'S IMPORTS, INC.",PRODUCTION HARD GOODS,VASES,UNID
