Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,PRODUCTS LIST,,,
,,,,
,,,,
,E CODE,PRODUCT NAME,SIZE,REF IMG
,293,362-744 XEROX 6R910,UNID,
,295,844-738 ENVELOPES BROWN KRAFT 9X12,BOX,
,299,268-091 WRITING PADS WHITE 8X11,BOX,
,301,741-361 POLY PROJECT FILES ASST COLORS  LETTER SIZ,BOX,
,302,959-429 HANGING FOLDERS ASST COLORS SMEAD LETTER,BOX,
,303,808-121 STORAGE FILES LETTER,UNID,
,304,"486-312 VIEW BINDERS 1-1/2"" RING WHITE",UNID,
,305,"486-328 VIEW BINDERS 2"" RING WHITE",UNID,
,306,"486-368 VIEW BINDERS 3"" RING WHITE",UNID,
,307,432-087 STANDAR STAPLES,BOX,
,308,127-270 STAPLE REMOVERS ASST COLORS,BOX,
,311,808-865 MEDIUM BINDER CLIPS,BOX,
,312,963-439 LARGE BINDER CLIPS,BOX,
,313,571-111 GLUE STICKS,BOX,
,315,520-928 INVISIBLE TAPE,BOX,
,318,696-245 PERMANENT FINE POINT MARKERS,BOX,
,324,602-621  HOOVER E-Z EMPTY COMMERCIAL  VACUUM,UNID,
,335,5 DAY TEMP REC YELLOW EZT Z4000-05-020 PK 20,UNID,
,343,ORGANZA YELLOW 20X28,UNID,
,344,ORGANZA WHITE 20X28,UNID,
,345,ORGANZA ORANGE 20X28,UNID,
,353,PACKING SLIP ENVELOPE CLEAR 5.5 X10  PK-1000,BOX,
,354,"BLOOMSY PLASTIC CABLE TIE 17""  WHITE PK 5000",UNID,
,375,WINNDIXIE SPRAY ROSES GREEN W/MACRO HOLE,UNID,
,396,FOAM DELUXE BRICKS REF 6004 - 48 /REF0180ADV PLUS,UNID,
,421,"CLEAR SLEEVE 19""",UNID,
,432,445-511 AAA ALKALINE BATTERIES,BOX,
,439,GALAX 100 BUNCHES X 10=1000 STEM CASE,BOX,
,442,FLORALIFE CLEAR FLOWER  FOOD 5 GR,UNID,
,443,FLORALIFE CLEAR FLOWER FOOD 10 GR,UNID,
,445,FLORALIFE EZ DOSE FLW FOOD BAGS 7.5 GR,UNID,
,447,"468-890 CARPET CHAIR MATS 36""X48""",UNID,
,448,504-600 DISPENSER POP-UP & FLAG FREE POST IT-PK10,UNID,
,449,308-478 PAPER CLIPS REGULAR PK-10,UNID,
,450,996-934  DESKTOP  PUNCH ADJ 2-3 BK/SILVER,UNID,
,451,173-336 TAPE DISPENSER BLACK,UNID,
,452,449-211 MAGNETIC CLIP DISPENSER BLACK,UNID,
,453,"500-777 COMBO STAPLER, STAPLES & REMOVER BLACK",UNID,
,454,180-352 STACKING LETTER TRAY BLACK,UNID,
,455,592-915 WASTEBASKET BLACK,UNID,
,456,313-338 CORNER CANS 23' GALLONS GRAY,UNID,
,457,532-344 BROTHERS MFC-8220 ALL-IN-ONE,UNID,
,458,911-900 CHAIRMAT   36X48,UNID,
,459,RIBBON ZEBRA Z4M REF Z 110450 PK 24,ROLL,
,466,"EDGE PROTECTOR 2X2X72"" 0.080 PK 2925",UNID,
,470,POKON CCC-2  FLW FOOD ( 5CC X LITRO) BARREL 52.8G,UNID,
,471,ELITE K BOX 15 X 12 X 26,UNID,
,488,"SISAL ROUND 17"" ORANGE",UNID,
,490,"SISAL ROUND 17"" PINK",UNID,
,494,"SISAL ROUND 17"" LAVENDER",UNID,
,495,ORGANZA LAVANDER 20X28,UNID,
,496,ELITE BJ 19  X 11 X 26 KR REF 97190/ PK 250/500,UNID,
,511,440-480 HP LASER JET 5740 COLOR,UNID,
,512,440-288 HP LASER JET 5740 BLACK,UNID,
,513,776-184 HP LASER JET 1320    S.SERRANO,UNID,
,514,478-297 INDEX DIVIDERS 1-31 TAB,UNID,
,515,478-305 INDEX DIVIDERS JAN-DEC TAB,UNID,
,516,375-151 OFFICE FIRST AID KIT,UNID,
,517,123-008 MOUSE PAD BLACK,UNID,
,521,ETHYL BLOC,UNID,
,522,ORGANZA  PINK 20X28,UNID,
,530,UPC KROGER FRESH FLW LABEL 2 X 2.1 PK 4R /22000 E,ROLL,
,537,BOX CERTERP/CORNUCOPIA 28X19X15 1/16 KR,UNID,
,541,FILAMENT STRAPPING INTERTAPE WH  3/4X60YD PK48,ROLL,
,543,"SEALING TAPE BIG ROLL 2""/1000YR INTERTAPE C400 PK6",ROLL,
,552,GLOVES BLUE NITRILE GRIPSTRONG MEDIUM PK 1000,UNID,
,557,MILANO MESH ORANGE 20X28,UNID,
,561,FLW ARRG TAG REF BB4359 I'M THIRSTY REF BA0346 P50,UNID,
,563,HYDRANGEA WHITE FROST 20X20,UNID,
,580,ORGANZA LIME GREEN  20X28,UNID,
,588,"WM 9.5""TRUMPET VASE FROSTED HOT PINK PK 15",UNID,
,603,CANDLE WARNING TAG 2X4  REF BA1303 PK 500,UNID,
,606,"PINE CONE PICK  GOLD, SILVER  , NATURAL LONG STEMS",UNID,
,612,"TAPER CANDLE BULK 12"" RED  PK 144",UNID,
,626,TROMPET BOXES 20X16X25  KR,UNID,
,627,INSERT TROMPET  9X7X3 WH REF 97035,UNID,
,632,SLEEVE FOR STORE STAND NOSU BAG 4X24X14 / 1.5 CPP,UNID,
,635,GERBERA CUP JUMBO J-2 85 MM X 65 MM X38 MM,UNID,
,638,DELANTALES DISPOSABLE POLY  APRON PA-H2846 PK 50,BOX,
,639,INSERT CENTERPIECE TRAY WH W/HANDLE 9 X2X13 8/16,UNID,
,650,"BIRCH BRANCHES WHITE 5"" WHITE",BUNC,
,652,DOSATRON REGULAR 11 GALLONES,UNID,
,671,HEART PICKS RED & PINK,UNID,
,684,R - BOXES 15X11X17 KF REF 97641,UNID,
,694,"BIG BUNCHE CUTTER MACHINE REF BBC 28""LG X 5"" HIGH",UNID,
,703,527-864 PILOT RED INK PEN -12,BOX,
,704,651-016 RECEIVED STAMPS,UNID,
,705,"396-311 BINDER 1"" BLACK",UNID,
,706,396-271 BINDER 1.5: BLACK,UNID,
,707,"396-231 BINDER 2"" BLACK",UNID,
,708,284-704 DAILY APPOINTMENT BOOKS,UNID,
,710,"HEART PATCH 17""",UNID,
,711,DCD DESINFECTANT 1 GALLON  PACK 6,UNID,
,716,"PLASTIC BAG VASE TRUMPET WITH FLOWERS 20"" TALL",UNID,
,718,HARRIES TEETER TAG,UNID,
,729,FLORALIFE QUICK DIP 6 GL,UNID,
,738,RIBBON DATAMAX TT REF 13764 PK 24,ROLL,
,757,WINN DIXIE FLW FOOD FLORALIFE FLOROMA 10 GR PK1000,UNID,
,787,992-280 HP LASERJET4350N  Q5942A BK,UNID,
,788,705-484 BAND AIL VARIETY PACK 280BX,BOX,
,789,145-007 ANTISEPTIC WIPES BX-10,BOX,
,790,595-990 FOLDER PROTECT CL W/TAB  PK5,BOX,
,791,320-564 SHEET PROTECTOR FOR 3 HOLE BX50,BOX,
